GRB,z,α,a_err,B,B_err,Fluence,Fluence_err,Range,Epeak,Epeak_err,Eiso,Eiso_err,Ref
970228,0.695,−1.54,0.08,−2.5,0.4,1.1e-5,0.1e-5,40-700,195,64,1.60e52,0.12e52,1
970508a,0.835,−1.71,0.1,−2.2,0.25,1.8e-6,0.3e-6,40-700,145,43,6.12e51,1.3e51,1
970828,0.958,−0.70,0.08,−2.1,0.4,9.6e-5,0.9e-5,20-2000,583,117,2.96e53,0.35e53,2
971214,3.42,−0.76,0.1,−2.7,1.1,8.8e-6,0.9e-6,40-700,685,133,2.11e53,0.24e53,1
980326,1.0,−1.23,0.21,−2.48,0.31,7.5e-7,1.5e-7,40-700,71,36,4.82e51,0.86e51,1
980613,1.096,−1.43,0.24,−2.7,0.6,1.e-6,0.2e-6,40-700,194,89,5.9e51,0.95e51,1
980703,0.966,−1.31,0.14,−2.39,0.26,2.3e-5,0.2e-5,20-2000,499,100,6.90e52,0.82e52,3
990123,1.600,−0.89,0.08,−2.45,0.97,3.e-4,0.4e-4,40-700,2031,161,2.39e54,0.28e54,1
990506,1.30,−1.37,0.15,−2.15,0.38,1.9e-4,0.2e-4,20-2000,653,130,9.5e53,1.13e53,2
990510,1.619,−1.23,0.05,−2.7,0.4,1.9e-5,0.2e-5,40-700,423,42,1.78e53,0.26e53,1
990705,0.843,−1.05,0.21,−2.2,0.1,7.5e-5,0.8e-5,40-700,348,28,1.82e53,0.23e53,1
990712,0.433,−1.88,0.07,−2.48,0.56,6.5e-6,0.3e-6,40-700,93,15,6.72e51,1.29e51,1
991208,0.706,,,,,1.6e-4,5.0e-6,20-10000,313,31,2.23e53,0.18e53,5
991216,1.02,−1.23,0.13,−2.18,0.39,1.9e-4,0.2e-4,20-2000,642,129,6.75e53,0.81e53,2
000131,4.50,−0.69,0.08,−2.07,0.37,4.2e-5,0.4e-5,20-2000,714,142,1.84e54,0.22e54,2
000210,0.846,,,,,7.6e-5,5.0e-6,20-10000,753,26,1.49e53,0.16e53,5
000418,1.12,,,,,2.6e-6,4.0e-5,20-10000,284,21,0.91e53,0.17e53,5
000911,1.06,−1.11,0.12,−2.32,0.41,2.2e-4,0.2e-4,15-8000,1856,371,6.7e53,1.4e53,5
000926,2.07,,,,,2.6e-5,4.e-6,20-2000,310.,20,2.7e53,0.58e53,5
010222,1.48,,,,,1.4e-4,8.e-6,20-2000,766,30,8.1e53,0.86e52,5
010921,0.45,−1.60,0.1,,,1.84e-5,0.1e-5,2-400,129.,26,1.1e52,0.11e52,5
011211b,2.140,−0.84,0.09,,,2.6e-6,0.3e-6,40-700,185,25,6.64e52,1.32e52,(7) 2
020124,3.198,−0.87,0.17,−2.6,0.65,8.1e-6,0.9e-6,2-400,390,113,2.15e53,0.73e53,8
020405,0.695,−0.00,0.25,−1.87,0.23,7.4e-5,0.7e-5,15-2000,617,171,1.25e53,0.13e53,2
020813b,1.255,−1.05,0.11,,,1.0e-4,0.1e-4,30-400,478,95,6.77e53,1.00e53,3
020819B,0.41,−0.90,0.15,−2.0,0.35,8.8e-6,9.e-7,2-400,70.,21,6.8e51,0.17e51,(7) 5
021004b,2.335,−1.00,0.2,,,2.6e-6,0.6e-6,2-400,267,117,4.09e52,0.71e52,7
021211,1.01,−0.85,0.09,−2.37,0.42,2.2e-6,0.2e-6,30-400,94,19,1.1e52,0.13e52,2
030226b,1.986,−0.90,0.2,,,5.6e-6,0.6e-6,2-400,290,63,6.7e52,1.20e52,7
030328,1.520,−1.14,0.03,−2.1,0.3,3.7e-5,0.14e-5,2-400,328,35,3.61e53,0.40e53,3
030329,0.169,−1.32,0.02,−2.44,0.08,1.2e-4,0.12e-4,3-400,79,3,1.66e52,0.20e52,3
030429b,2.656,−1.10,0.3,,,8.5e-7,1.4e-7,2-400,128,37,1.73e52,0.31e52,7
040924c,0.859,,,,,2.6e-6,0.0,30-400,102,35,0.95e52,0.1e52,5
041006b,0.716,−1.37,0.14,,,2.0e-5,0.2e-5,25-100,108,22,8.30e52,1.3e52,3
050126b,1.29,−0.75,0.44,,,8.55e-7,1.82e-7,15-150,263,110,7.36e51,1.60e51,10
050223db,0.5915,−1.50,0.42,,,6.14e-7,0.83e-7,15-150,110,54,1.21e51,1.77e50,10
